accepted_name,registro_dep
Badilloa helianthifolia,Piura
Badilloa herrerae,Cusco
Badilloa procera,Huánuco
Badilloa sphagnophila,Cusco
Badilloa sphagnophila,Huánuco
Barnadesia blakeana,Áncash
Barnadesia blakeana,Lima
Barnadesia hutchisoniana,Amazonas
Barnadesia hutchisoniana,Cajamarca
Barnadesia hutchisoniana,Lambayeque
Barnadesia hutchisoniana,Piura
Barnadesia macbridei,Cusco
Barnadesia macbridei,Huánuco
Barnadesia macbridei,Junín
Barnadesia reticulata,Ica
Barnadesia reticulata,Junín
Barnadesia reticulata,Lima
Bartlettina macromeris,Huánuco
Bartlettina macromeris,Junín
Bidens abadiae var. pilosoides,Lima
Bidens monticola,Huánuco
Bidens monticola,Junín
Bishopanthus soliceps,Amazonas
Borrichia peruviana,Sin_datos
Calea szyszylowiczii,Amazonas
Calea szyszylowiczii,Cajamarca
Calea szyszylowiczii,San Martín
Caxamarca sanchezii,Cajamarca
Caxamarca sanchezii,La Libertad
Chaetanthera chiquianensis,Áncash
Chaetanthera chiquianensis,Lima
Chaetanthera cochlearifolia,Áncash
Chaetanthera cochlearifolia,Junín
Chaetanthera cochlearifolia,Lima
Chaetanthera peruviana,Arequipa
Chaetanthera peruviana,Lima
Chaetanthera peruviana,Tacna
Chaptalia callacallensis,Amazonas
Chaptalia callacallensis,Cajamarca
Chaptalia isernina,Huánuco
Chaptalia isernina,Junín
Chaptalia malcabalensis,Amazonas
Chersodoma deltoidea,Áncash
Chersodoma deltoidea,Cajamarca
Chersodoma deltoidea,La Libertad
Chersodoma juanisernii,Arequipa
Chersodoma juanisernii,Lima
Chersodoma juanisernii,Tacna
Chersodoma ovopedata,Áncash
Chersodoma ovopedata,Junín
Chersodoma ovopedata,La Libertad
Chiliotrichiopsis peruviana,Ayacucho
Chromolaena anachoretica,Amazonas
Chromolaena anachoretica,Cajamarca
Chromolaena anachoretica,San Martín
Chromolaena eripsima,Áncash
Chromolaena jelskii,Amazonas
Chromolaena jelskii,Cajamarca
Chromolaena jelskii,Junín
Chrysactinium breviscapum,Lambayeque
Chrysactinium wurdackii,Amazonas
Chrysanthellum indicum,Huancavelica
Chucoa ilicifolia,La Libertad
Chuquiraga johnstonii,Huánuco
Chuquiraga johnstonii,Huancavelica
Chuquiraga johnstonii,Pasco
Chuquiraga oblongifolia,Cajamarca
Chuquiraga raimondiana,Huánuco
Chuquiraga weberbaueri,Amazonas
Chuquiraga weberbaueri,Cajamarca
Chuquiraga weberbaueri,La Libertad
Chuquiraga weberbaueri,Piura
Coreopsis breviligulata,Cajamarca
Coreopsis cajamarcana,Cajamarca
Coreopsis canescentifolia,Cajamarca
Coreopsis celendinensis,Cajamarca
Coreopsis celendinensis,La Libertad
Coreopsis connata,Cajamarca
Coreopsis dentifolia,Cajamarca
Coreopsis dilloniana,Cajamarca
Coreopsis fasciculata var. laevigata,Cusco
Coreopsis ferreyrae,Cajamarca
Coreopsis foliosa,Amazonas
Coreopsis glaucodes,Cajamarca
